261,293,129,29,261,293
261,293,130,163,53,96
53,96,293,298,131,180
53,96,213,145,248,53
131,180,87,294,22,178
131,180,144,22,201,77
131,180,26,8,122,1
131,180,97,237,192,18
248,53,179,266,70,43
248,53,245,65,108,262
248,53,181,116,151,218
22,178,42,186,181,133
22,178,34,159,43,2
201,77,160,279,204,239
201,77,194,126,12,236
122,1,70,301,170,51
122,1,154,255,176,85
122,1,285,148,52,186
122,1,66,24,66,263
192,18,214,68,240,137
192,18,266,161,1,132
192,18,15,4,67,171
192,18,297,288,63,260
70,43,155,68,280,268
70,43,253,254,299,289
108,262,71,298,156,233
108,262,134,268,211,227
108,262,12,98,245,80
151,218,21,253,145,245
151,218,294,5,227,47
151,218,88,141,291,238
151,218,147,136,268,292
181,133,197,248,72,2
181,133,229,219,144,246
43,2,97,297,128,136
43,2,28,12,152,157
204,239,163,145,58,117
204,239,159,299,97,287
204,239,62,161,199,113
204,239,166,232,98,100
12,236,271,3,57,288
12,236,255,253,258,149
170,51,63,80,256,212
170,51,63,144,233,291
170,51,94,153,80,105
176,85,66,96,264,42
176,85,237,162,83,294
52,186,160,43,244,122
52,186,187,80,154,83
66,263,110,136,114,189
66,263,270,108,48,43
66,263,157,224,121,73
66,263,69,147,106,136
240,137,109,38,30,209
240,137,6,55,109,20
1,132,166,27,222,185
1,132,127,172,135,91
67,171,73,89,117,244
67,171,20,74,289,159
67,171,45,253,267,190
67,171,30,238,123,19
63,260,285,205,178,95
63,260,288,189,84,293
63,260,169,202,132,180
63,260,23,209,50,228
280,268,205,14,99,170
280,268,228,59,279,294
280,268,76,214,47,81
299,289,83,152,245,92
299,289,113,76,0,259
156,233,218,173,146,10
156,233,69,256,143,301
156,233,69,223,256,101
211,227,166,262,62,29
211,227,135,211,56,55
211,227,292,9,29,124
245,80,269,10,284,194
245,80,152,44,190,279
245,80,149,31,68,280
145,245,144,90,46,36
145,245,75,78,162,296
145,245,30,5,24,283
145,245,213,168,70,188
227,47,83,268,259,110
227,47,207,139,68,298
227,47,291,226,152,252
227,47,144,221,120,151
291,238,225,248,91,89
291,238,258,211,55,172
291,238,132,121,110,63
291,238,273,299,22,123
268,292,230,23,134,197
268,292,260,4,2,151
268,292,139,204,232,54
72,2,10,111,69,110
72,2,194,173,90,146
72,2,210,42,157,15
72,2,86,145,276,211
144,246,139,143,160,218
144,246,195,262,114,83
128,136,8,277,19,54
128,136,0,205,74,28
152,157,211,272,86,126
152,157,227,110,44,107
152,157,98,210,115,301
152,157,267,286,183,204
58,117,39,139,187,154
58,117,189,164,27,174
58,117,260,278,70,296
58,117,56,58,227,272
97,287,136,292,196,170
97,287,8,77,52,26
97,287,97,160,67,289
199,113,33,118,242,97
199,113,147,259,246,296
199,113,286,194,248,176
199,113,159,268,164,140
98,100,199,115,138,246
98,100,285,170,106,268
57,288,170,113,183,124
57,288,208,122,24,21
57,288,239,132,122,256
57,288,162,100,234,86
258,149,107,106,64,2
258,149,41,250,267,54
256,212,234,288,11,10
256,212,58,7,110,190
256,212,293,205,138,131
233,291,149,291,265,233
233,291,257,173,66,85
80,105,88,11,263,47
80,105,109,95,248,61
264,42,235,277
264,42,199,178
83,294,1,298
83,294,249,126
244,122,84,281
244,122,48,60
244,122,49,251
244,122,290,271
154,83,72,177
154,83,153,190
154,83,276,197
154,83,112,237
114,189,275,51
114,189,273,93
48,43,146,281
48,43,278,29
121,73,212,136
121,73,79,132
121,73,52,165
106,136,0,84
106,136,267,118
106,136,156,91
30,209,12,293
30,209,82,165
30,209,221,253
109,20,169,181
109,20,240,209
109,20,137,68
222,185,150,108
222,185,44,138
135,91,82,221
135,91,127,43
135,91,127,237
117,244
117,244
117,244
289,159
289,159
267,190
267,190
123,19
123,19
123,19
178,95
178,95
84,293
84,293
132,180
132,180
132,180
132,180
50,228
50,228
50,228
99,170
99,170
99,170
279,294
279,294
47,81
47,81
245,92
245,92
245,92
245,92
0,259
0,259
0,259
146,10
146,10
146,10
143,301
143,301
143,301
256,101
256,101
256,101
62,29
62,29
62,29
62,29
56,55
56,55
29,124
29,124
29,124
284,194
284,194
284,194
190,279
190,279
190,279
68,280
68,280
46,36
46,36
46,36
162,296
162,296
162,296
24,283
24,283
24,283
70,188
70,188
259,110
259,110
259,110
68,298
68,298
68,298
152,252
152,252
152,252
152,252
120,151
120,151
91,89
91,89
55,172
55,172
55,172
55,172
110,63
110,63
22,123
22,123
134,197
134,197
2,151
2,151
2,151
232,54
232,54
232,54
232,54
69,110
69,110
69,110
90,146
90,146
90,146
90,146
157,15
157,15
157,15
157,15
276,211
276,211
160,218
160,218
160,218
114,83
114,83
114,83
114,83
19,54
19,54
19,54
19,54
74,28
74,28
74,28
74,28
86,126
86,126
86,126
86,126
44,107
44,107
115,301
115,301
183,204
183,204
183,204
183,204
187,154
187,154
187,154
187,154
27,174
27,174
70,296
70,296
70,296
227,272
227,272
227,272
196,170
196,170
52,26
52,26
52,26
52,26
67,289
67,289
67,289
67,289
242,97
242,97
242,97
242,97
246,296
246,296
248,176
248,176
248,176
248,176
164,140
164,140
164,140
138,246
138,246
138,246
106,268
106,268
106,268
106,268
183,124
183,124
183,124
24,21
24,21
24,21
122,256
122,256
122,256
122,256
234,86
234,86
234,86
64,2
64,2
64,2
64,2
267,54
267,54
11,10
11,10
11,10
110,190
110,190
110,190
110,190
138,131
138,131
265,233
265,233
66,85
66,85
66,85
263,47
263,47
248,61
248,61
290,149
290,149
290,149
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
